trainSize,testSize,dimention,selRatio,model,measure,value,method,dataset,noise,train_seed,fullset_value
120,2996,14,0.01,DT,acc,0.591455274,byAC,eegEyeState,na,2,0.837116155
120,2996,14,0.01,DT,acc,0.560413885,byAC,eegEyeState,na,3,0.826769025
120,2996,14,0.01,DT,acc,0.602136182,byAC,eegEyeState,na,4,0.839786382
120,2996,14,0.01,DT,acc,0.634846462,byAC,eegEyeState,na,5,0.845126836
65,1625,18,0.01,DT,acc,0.547076923,byAC,mushroom,na,2,1
65,1625,18,0.01,DT,acc,0.987692308,byAC,mushroom,na,3,1
65,1625,18,0.01,DT,acc,0.985846154,byAC,mushroom,na,4,1
65,1625,18,0.01,DT,acc,0.985846154,byAC,mushroom,na,5,1
60,1480,20,0.01,DT,acc,0.733108108,byAC,twonorm,na,2,0.85472973
60,1480,20,0.01,DT,acc,0.742567568,byAC,twonorm,na,4,0.861486486
128,3200,8,0.01,DT,acc,0.584375,byAC,url_spam,na,1,0.851875
128,3200,8,0.01,DT,acc,0.5228125,byAC,url_spam,na,2,0.8684375
128,3200,8,0.01,DT,acc,0.571875,byAC,url_spam,na,3,0.86875
128,3200,8,0.01,DT,acc,0.5240625,byAC,url_spam,na,4,0.8659375
128,3200,8,0.01,DT,acc,0.5165625,byAC,url_spam,na,5,0.860625
120,2996,14,0.01,DT,acc,0.387182911,byFreq,eegEyeState,na,1,0.825100134
120,2996,14,0.01,DT,acc,0.448598131,byFreq,eegEyeState,na,2,0.837116155
120,2996,14,0.01,DT,acc,0.494993324,byFreq,eegEyeState,na,3,0.826769025
120,2996,14,0.01,DT,acc,0.453604806,byFreq,eegEyeState,na,4,0.839786382
120,2996,14,0.01,DT,acc,0.464953271,byFreq,eegEyeState,na,5,0.845126836
65,1625,18,0.01,DT,acc,0.996923077,byFreq,mushroom,na,2,1
65,1625,18,0.01,DT,acc,0.993230769,byFreq,mushroom,na,3,1
65,1625,18,0.01,DT,acc,0.994461538,byFreq,mushroom,na,4,1
65,1625,18,0.01,DT,acc,0.933538462,byFreq,mushroom,na,5,1
60,1480,20,0.01,DT,acc,0.27972973,byFreq,twonorm,na,2,0.85472973
60,1480,20,0.01,DT,acc,0.47027027,byFreq,twonorm,na,4,0.861486486
128,3200,8,0.01,DT,acc,0.2809375,byFreq,url_spam,na,1,0.851875
128,3200,8,0.01,DT,acc,0.3621875,byFreq,url_spam,na,2,0.8684375
128,3200,8,0.01,DT,acc,0.3075,byFreq,url_spam,na,3,0.86875
128,3200,8,0.01,DT,acc,0.320625,byFreq,url_spam,na,4,0.8659375
128,3200,8,0.01,DT,acc,0.2621875,byFreq,url_spam,na,5,0.860625
120,2996,14,0.01,DT,acc,0.551735648,byVoronoiFilter02,eegEyeState,na,1,0.825100134
120,2996,14,0.01,DT,acc,0.625834446,byVoronoiFilter02,eegEyeState,na,2,0.837116155
120,2996,14,0.01,DT,acc,0.577102804,byVoronoiFilter02,eegEyeState,na,3,0.826769025
120,2996,14,0.01,DT,acc,0.604138852,byVoronoiFilter02,eegEyeState,na,4,0.839786382
120,2996,14,0.01,DT,acc,0.612817089,byVoronoiFilter02,eegEyeState,na,5,0.845126836
65,1625,18,0.01,DT,acc,0.980307692,byVoronoiFilter02,mushroom,na,2,1
65,1625,18,0.01,DT,acc,0.971692308,byVoronoiFilter02,mushroom,na,3,1
65,1625,18,0.01,DT,acc,0.990153846,byVoronoiFilter02,mushroom,na,4,1
65,1625,18,0.01,DT,acc,0.997538462,byVoronoiFilter02,mushroom,na,5,1
60,1480,20,0.01,DT,acc,0.734459459,byVoronoiFilter02,twonorm,na,2,0.85472973
60,1480,20,0.01,DT,acc,0.736486486,byVoronoiFilter02,twonorm,na,4,0.861486486
128,3200,8,0.01,DT,acc,0.715,byVoronoiFilter02,url_spam,na,1,0.851875
128,3200,8,0.01,DT,acc,0.723125,byVoronoiFilter02,url_spam,na,2,0.8684375
128,3200,8,0.01,DT,acc,0.6303125,byVoronoiFilter02,url_spam,na,3,0.86875
128,3200,8,0.01,DT,acc,0.7578125,byVoronoiFilter02,url_spam,na,4,0.8659375
128,3200,8,0.01,DT,acc,0.7559375,byVoronoiFilter02,url_spam,na,5,0.860625
120,2996,14,0.01,DT,auc,0.584405798,byAC,eegEyeState,na,2,0.86468791
120,2996,14,0.01,DT,auc,0.557789931,byAC,eegEyeState,na,3,0.840101401
120,2996,14,0.01,DT,auc,0.629136553,byAC,eegEyeState,na,4,0.851636703
120,2996,14,0.01,DT,auc,0.637937562,byAC,eegEyeState,na,5,0.859711703
65,1625,18,0.01,DT,auc,0.571515428,byAC,mushroom,na,2,1
65,1625,18,0.01,DT,auc,0.987309645,byAC,mushroom,na,3,1
