trainSize,testSize,dimention,selRatio,model,measure,value,method,dataset,noise,train_seed
1097,275,4,1,DT,acc,0.985454545,noselect,BankNote_Authentication,na,1
1097,275,4,1,DT,acc,0.978181818,noselect,BankNote_Authentication,na,2
1097,275,4,1,DT,acc,0.978181818,noselect,BankNote_Authentication,na,3
1097,275,4,1,DT,acc,0.996363636,noselect,BankNote_Authentication,na,4
1097,275,4,1,DT,acc,0.963636364,noselect,BankNote_Authentication,na,5
4240,1060,2,1,DT,acc,0.89245283,noselect,banana,na,1
4240,1060,2,1,DT,acc,0.894339623,noselect,banana,na,2
4240,1060,2,1,DT,acc,0.879245283,noselect,banana,na,3
4240,1060,2,1,DT,acc,0.883018868,noselect,banana,na,4
4240,1060,2,1,DT,acc,0.893396226,noselect,banana,na,5
6243,1561,25,1,DT,acc,0.843049327,noselect,colleges,na,1
6243,1561,25,1,DT,acc,0.839846252,noselect,colleges,na,2
6243,1561,25,1,DT,acc,0.830877643,noselect,colleges,na,3
6243,1561,25,1,DT,acc,0.836002562,noselect,colleges,na,4
6243,1561,25,1,DT,acc,0.830877643,noselect,colleges,na,5
11984,2996,14,1,DT,acc,0.825100134,noselect,eegEyeState,na,1
11984,2996,14,1,DT,acc,0.837116155,noselect,eegEyeState,na,2
11984,2996,14,1,DT,acc,0.826769025,noselect,eegEyeState,na,3
11984,2996,14,1,DT,acc,0.839786382,noselect,eegEyeState,na,4
11984,2996,14,1,DT,acc,0.845126836,noselect,eegEyeState,na,5
7382,1846,7,1,DT,acc,0.964788732,noselect,employee_salaries,na,1
7382,1846,7,1,DT,acc,0.983206934,noselect,employee_salaries,na,2
7382,1846,7,1,DT,acc,0.97020585,noselect,employee_salaries,na,3
7382,1846,7,1,DT,acc,0.985373781,noselect,employee_salaries,na,4
7382,1846,7,1,DT,acc,0.978873239,noselect,employee_salaries,na,5
6499,1625,18,1,DT,acc,1,noselect,mushroom,na,2
6499,1625,18,1,DT,acc,1,noselect,mushroom,na,3
6499,1625,18,1,DT,acc,1,noselect,mushroom,na,4
6499,1625,18,1,DT,acc,1,noselect,mushroom,na,5
5920,1480,20,1,DT,acc,0.863513514,noselect,ringnorm,na,1
5920,1480,20,1,DT,acc,0.879054054,noselect,ringnorm,na,2
5920,1480,20,1,DT,acc,0.875,noselect,ringnorm,na,3
5920,1480,20,1,DT,acc,0.885135135,noselect,ringnorm,na,4
5920,1480,20,1,DT,acc,0.880405405,noselect,ringnorm,na,5
5920,1480,20,1,DT,acc,0.837162162,noselect,twonorm,na,1
5920,1480,20,1,DT,acc,0.85472973,noselect,twonorm,na,2
5920,1480,20,1,DT,acc,0.833108108,noselect,twonorm,na,3
5920,1480,20,1,DT,acc,0.861486486,noselect,twonorm,na,4
5920,1480,20,1,DT,acc,0.842567568,noselect,twonorm,na,5
12800,3200,8,1,DT,acc,0.851875,noselect,url_spam,na,1
12800,3200,8,1,DT,acc,0.8684375,noselect,url_spam,na,2
12800,3200,8,1,DT,acc,0.86875,noselect,url_spam,na,3
12800,3200,8,1,DT,acc,0.8659375,noselect,url_spam,na,4
12800,3200,8,1,DT,acc,0.860625,noselect,url_spam,na,5
1097,275,4,1,DT,auc,0.986208572,noselect,BankNote_Authentication,na,1
1097,275,4,1,DT,auc,0.978438228,noselect,BankNote_Authentication,na,2
1097,275,4,1,DT,auc,0.978749444,noselect,BankNote_Authentication,na,3
1097,275,4,1,DT,auc,0.996835443,noselect,BankNote_Authentication,na,4
1097,275,4,1,DT,auc,0.962864439,noselect,BankNote_Authentication,na,5
4240,1060,2,1,DT,auc,0.937494632,noselect,banana,na,1
4240,1060,2,1,DT,auc,0.94720613,noselect,banana,na,2
4240,1060,2,1,DT,auc,0.947802019,noselect,banana,na,3
4240,1060,2,1,DT,auc,0.953344229,noselect,banana,na,4
4240,1060,2,1,DT,auc,0.953684573,noselect,banana,na,5
6243,1561,25,1,DT,auc,0.875727069,noselect,colleges,na,1
6243,1561,25,1,DT,auc,0.843976723,noselect,colleges,na,2
6243,1561,25,1,DT,auc,0.830132063,noselect,colleges,na,3
6243,1561,25,1,DT,auc,0.850720684,noselect,colleges,na,4
6243,1561,25,1,DT,auc,0.812243942,noselect,colleges,na,5
11984,2996,14,1,DT,auc,0.839152444,noselect,eegEyeState,na,1
11984,2996,14,1,DT,auc,0.86468791,noselect,eegEyeState,na,2
11984,2996,14,1,DT,auc,0.840101401,noselect,eegEyeState,na,3
11984,2996,14,1,DT,auc,0.851636703,noselect,eegEyeState,na,4
11984,2996,14,1,DT,auc,0.859711703,noselect,eegEyeState,na,5
7382,1846,7,1,DT,auc,0.925101943,noselect,employee_salaries,na,1
7382,1846,7,1,DT,auc,0.986064789,noselect,employee_salaries,na,2
7382,1846,7,1,DT,auc,0.991989802,noselect,employee_salaries,na,3
