trainSize,testSize,dimention,selRatio,model,measure,value,method,dataset,noise,train_seed
5000,5000,2,1,NeuralNet,acc,0.9702,noselect,moon,0.2,1
5000,5000,2,1,NeuralNet,acc,0.885,noselect,circle,0.2,1
5000,5000,2,1,NeuralNet,acc,0.7374,noselect,moon,0.8,1
5000,5000,2,1,NeuralNet,acc,0.5788,noselect,circle,0.8,1
5000,5000,2,1,NeuralNet,acc,0.6452,noselect,moon,1.5,1
5000,5000,2,1,NeuralNet,acc,0.523,noselect,circle,1.5,1
5000,5000,2,1,NeuralNet,acc,0.9704,noselect,moon,0.2,2
5000,5000,2,1,NeuralNet,acc,0.9704,noselect,moon,0.2,2
5000,5000,2,1,NeuralNet,acc,0.9704,noselect,moon,0.2,3
5000,5000,2,1,NeuralNet,acc,0.9704,noselect,moon,0.2,3
5000,5000,2,1,NeuralNet,acc,0.9708,noselect,moon,0.2,4
5000,5000,2,1,NeuralNet,acc,0.9708,noselect,moon,0.2,4
5000,5000,2,1,NeuralNet,acc,0.9698,noselect,moon,0.2,5
5000,5000,2,1,NeuralNet,acc,0.9698,noselect,moon,0.2,5
5000,5000,2,1,NeuralNet,acc,0.8848,noselect,circle,0.2,2
5000,5000,2,1,NeuralNet,acc,0.8848,noselect,circle,0.2,2
5000,5000,2,1,NeuralNet,acc,0.8828,noselect,circle,0.2,3
5000,5000,2,1,NeuralNet,acc,0.8828,noselect,circle,0.2,3
5000,5000,2,1,NeuralNet,acc,0.8824,noselect,circle,0.2,4
5000,5000,2,1,NeuralNet,acc,0.8824,noselect,circle,0.2,4
5000,5000,2,1,NeuralNet,acc,0.8832,noselect,circle,0.2,5
5000,5000,2,1,NeuralNet,acc,0.8832,noselect,circle,0.2,5
5000,5000,2,1,NeuralNet,acc,1,noselect,blobs,0.2,2
5000,5000,2,1,NeuralNet,acc,1,noselect,blobs,0.2,2
5000,5000,2,1,NeuralNet,acc,1,noselect,blobs,0.2,3
5000,5000,2,1,NeuralNet,acc,1,noselect,blobs,0.2,3
5000,5000,2,1,NeuralNet,acc,1,noselect,blobs,0.2,4
5000,5000,2,1,NeuralNet,acc,1,noselect,blobs,0.2,4
5000,5000,2,1,NeuralNet,acc,1,noselect,blobs,0.2,5
5000,5000,2,1,NeuralNet,acc,1,noselect,blobs,0.2,5
5000,5000,2,1,NeuralNet,acc,1,noselect,XOR,0.2,2
5000,5000,2,1,NeuralNet,acc,1,noselect,XOR,0.2,2
5000,5000,2,1,NeuralNet,acc,1,noselect,XOR,0.2,3
5000,5000,2,1,NeuralNet,acc,1,noselect,XOR,0.2,3
5000,5000,2,1,NeuralNet,acc,1,noselect,XOR,0.2,4
5000,5000,2,1,NeuralNet,acc,1,noselect,XOR,0.2,4
5000,5000,2,1,NeuralNet,acc,1,noselect,XOR,0.2,5
5000,5000,2,1,NeuralNet,acc,1,noselect,XOR,0.2,5
5000,5000,2,1,NeuralNet,acc,0.9704,noselect,moon,0.2,2
5000,5000,2,1,NeuralNet,acc,0.9704,noselect,moon,0.2,2
5000,5000,2,1,NeuralNet,acc,0.9704,noselect,moon,0.2,3
5000,5000,2,1,NeuralNet,acc,0.9704,noselect,moon,0.2,3
5000,5000,2,1,NeuralNet,acc,0.9708,noselect,moon,0.2,4
5000,5000,2,1,NeuralNet,acc,0.9708,noselect,moon,0.2,4
